Percentage data,,,,,,,,,,,,,,Raw data
Year,Staghorn coral,Boulder star coral,Sponges,Algae,Stoplight parrotfish,Queen angelfish,Yellowtail snapper,Nassau grouper,Long-spined sea urchin,Hawkbill sea turtle,Red lionfish,Crown-of-thorns starfish,,Staghorn coral,Boulder star coral,Sponges,Algae,Stoplight parrotfish,Queen angelfish,Yellowtail snapper,Nassau grouper,Long-spined sea urchin,Hawkbill sea turtle,Red lionfish,Crown-of-thorns starfish
0,100%,101%,103%,99%,100%,100%,100%,100%,100%,100%,20%,3%,,21,28,11,27,825,540,240,48,1160,25,20,15
1,99%,101%,103%,99%,96%,96%,101%,100%,100%,100%,30%,5%,,21,28,11,27,796,521,241,48,1160,25,30,26
2,98%,100%,104%,99%,91%,91%,101%,100%,100%,100%,46%,9%,,21,28,11,27,751,493,242,48,1160,25,46,44
3,96%,99%,106%,99%,83%,84%,100%,100%,100%,99%,68%,15%,,20,28,12,27,687,456,240,48,1160,25,68,75
4,92%,97%,108%,100%,73%,75%,98%,98%,100%,99%,98%,25%,,19,27,12,27,602,406,235,47,1160,25,98,126
5,86%,94%,111%,101%,60%,64%,95%,95%,100%,100%,137%,42%,,18,26,12,27,496,345,227,46,1162,25,137,211
6,76%,89%,116%,102%,46%,51%,90%,91%,101%,100%,184%,69%,,16,25,13,28,378,275,217,44,1166,25,184,344
7,62%,82%,122%,104%,32%,38%,84%,86%,101%,101%,233%,108%,,13,23,13,28,261,203,203,41,1174,25,233,542
8,44%,71%,128%,106%,20%,25%,78%,79%,101%,102%,278%,162%,,9,20,14,29,161,138,187,38,1166,25,278,809
9,25%,57%,133%,109%,11%,16%,71%,72%,73%,103%,313%,191%,,5,16,15,29,89,87,170,34,847,26,313,953
10,13%,44%,133%,116%,6%,10%,64%,64%,51%,105%,335%,134%,,3,12,15,31,46,51,153,31,595,26,335,670
11,9%,37%,112%,125%,3%,5%,58%,57%,42%,107%,345%,111%,,2,10,12,34,24,29,138,27,491,27,345,553
12,7%,33%,97%,136%,2%,3%,52%,50%,37%,107%,346%,96%,,1,9,11,37,13,15,125,24,427,27,346,481
13,6%,30%,87%,148%,1%,1%,47%,44%,33%,107%,340%,86%,,1,8,10,40,8,7,114,21,383,27,340,431
14,5%,27%,79%,161%,1%,1%,43%,39%,30%,105%,329%,79%,,1,8,9,43,5,3,104,18,349,26,329,393
15,5%,25%,73%,174%,0%,0%,40%,34%,28%,98%,314%,73%,,1,7,8,47,4,2,95,16,323,25,314,364
16,4%,24%,69%,187%,0%,0%,37%,29%,26%,91%,298%,68%,,1,7,8,51,3,1,88,14,302,23,298,340
17,4%,22%,65%,201%,0%,0%,34%,26%,25%,86%,281%,64%,,1,6,7,54,3,0,82,12,285,22,281,321
18,4%,21%,61%,214%,0%,0%,32%,22%,23%,81%,263%,61%,,1,6,7,58,3,0,77,11,270,20,263,304
19,4%,20%,59%,227%,0%,0%,30%,20%,22%,78%,244%,58%,,1,6,6,61,4,0,72,9,258,19,244,290
20,4%,19%,56%,239%,1%,0%,28%,17%,21%,74%,226%,55%,,1,5,6,65,4,0,68,8,247,19,226,277
21,4%,18%,54%,251%,1%,0%,27%,15%,20%,71%,209%,53%,,1,5,6,68,6,0,64,7,237,18,209,267
22,4%,18%,52%,262%,1%,0%,25%,13%,20%,69%,192%,51%,,1,5,6,71,8,0,61,6,228,17,192,257
23,3%,17%,50%,272%,1%,0%,24%,11%,19%,66%,176%,50%,,1,5,6,73,11,0,58,5,220,17,176,248
24,3%,16%,48%,281%,2%,0%,23%,10%,18%,64%,162%,48%,,1,5,5,76,17,0,56,5,213,16,162,240
25,3%,16%,47%,289%,3%,0%,22%,9%,18%,61%,148%,46%,,1,4,5,78,28,0,54,4,206,15,148,232
26,3%,15%,45%,296%,6%,0%,22%,8%,17%,59%,136%,45%,,1,4,5,80,46,0,52,4,200,15,136,225
27,3%,15%,44%,301%,9%,0%,21%,7%,17%,56%,125%,44%,,1,4,5,81,78,0,51,3,194,14,125,219
28,3%,14%,43%,306%,17%,0%,21%,6%,16%,54%,116%,42%,,1,4,5,83,136,0,49,3,189,14,116,212
29,4%,14%,42%,309%,21%,0%,20%,5%,16%,52%,110%,41%,,1,4,5,84,172,0,49,2,184,13,110,207
30,4%,13%,41%,312%,20%,0%,20%,5%,15%,50%,105%,40%,,1,4,4,84,168,0,48,2,179,12,105,201
31,4%,13%,40%,314%,20%,0%,20%,4%,15%,48%,100%,39%,,1,4,4,85,163,0,48,2,174,12,100,196
32,4%,12%,39%,316%,19%,0%,20%,4%,15%,45%,96%,38%,,1,3,4,85,160,0,47,2,170,11,96,190
33,4%,12%,38%,318%,19%,0%,20%,3%,14%,43%,91%,37%,,1,3,4,86,156,0,47,1,167,11,91,185
34,4%,12%,37%,320%,19%,0%,19%,3%,14%,41%,86%,36%,,1,3,4,86,153,0,47,1,163,10,86,179
35,4%,11%,36%,321%,18%,0%,19%,2%,14%,40%,82%,35%,,1,3,4,87,150,0,46,1,160,10,82,173
36,4%,11%,36%,323%,18%,0%,19%,2%,14%,38%,78%,33%,,1,3,4,87,148,0,46,1,158,9,78,167
37,4%,11%,35%,324%,18%,0%,19%,2%,13%,36%,73%,32%,,1,3,4,87,146,0,46,1,155,9,73,161
38,4%,11%,34%,325%,17%,0%,19%,2%,13%,34%,69%,31%,,1,3,4,88,144,0,46,1,153,9,69,156
39,4%,10%,34%,326%,17%,0%,19%,1%,13%,33%,66%,30%,,1,3,4,88,142,0,46,1,151,8,66,150
40,4%,10%,33%,327%,17%,0%,19%,1%,13%,31%,62%,29%,,1,3,4,88,141,0,46,1,150,8,62,144
41,4%,10%,33%,328%,17%,0%,19%,1%,13%,30%,58%,28%,,1,3,4,89,139,0,46,1,149,7,58,139
42,5%,10%,33%,329%,17%,0%,19%,1%,13%,28%,55%,27%,,1,3,4,89,138,0,46,0,148,7,55,133
43,5%,10%,33%,329%,17%,0%,19%,1%,13%,27%,52%,26%,,1,3,4,89,138,0,46,0,147,7,52,128
